camera_id,timestamp,plate,plate_confidence,vehicle_type,vehicle_color,speed,direction,local_track_id
MH_LBS_GHATKOPAR,2026-08-24T15:20:07+05:30,MH06Y7610,0.91,motorcycle,red,18.7,NORTH,MH_LBS_GHATKOPAR_T671
MH_SV_KHAR,2026-08-24T15:23:31+05:30,MH02X7875,0.96,car,brown,22.4,NORTH,MH_SV_KHAR_T140
MH_SV_SANTACRUZ,2026-08-24T15:28:31+05:30,MH02X7875,0.92,car,brown,21.4,NORTH,MH_SV_SANTACRUZ_T153
MH_LBS_KURLA,2026-08-24T15:32:48+05:30,MH06Y7610,0.91,motorcycle,red,17.7,NORTH,MH_LBS_KURLA_T582
MH_SV_ANDHERI,2026-08-24T15:39:06+05:30,MH02X7875,0.82,car,brown,25.7,NORTH,MH_SV_ANDHERI_T151
MH_SV_JOGESHWARI,2026-08-24T15:43:28+05:30,MH02X7875,0.89,car,brown,34.3,NORTH,MH_SV_JOGESHWARI_T126
MH_WEH_VILEPARLE,2026-08-24T15:51:44+05:30,MH46UZ5378,0.93,car,white,57.8,NORTH,MH_WEH_VILEPARLE_T785
MH_WEH_ANDHERI,2026-08-24T15:54:34+05:30,MH46UZ5378,0.82,car,white,57.0,NORTH,MH_WEH_ANDHERI_T811
MH_WEH_JVLR,2026-08-24T15:56:25+05:30,MH46UZ5378,0.98,car,white,58.4,NORTH,MH_WEH_JVLR_T781
MH_WEH_GOREGAON,2026-08-24T16:01:37+05:30,MH46UZ5378,0.85,car,white,49.7,NORTH,MH_WEH_GOREGAON_T629
MH_WEH_BORIVALI,2026-08-24T16:09:30+05:30,MH46UZ5378,0.97,car,white,59.7,NORTH,MH_WEH_BORIVALI_T424
MH_WEH_DAHISAR,2026-08-24T16:12:28+05:30,MH46UZ5378,0.86,car,white,59.0,NORTH,MH_WEH_DAHISAR_T198
MH_COLABA,2026-08-24T16:33:37+05:30,MH04V8626,0.96,car,brown,25.0,SOUTH,MH_COLABA_T442
MH_MAHIM_CSWY,2026-08-24T16:33:56+05:30,MH43GV9348,0.85,car,white,29.3,NORTH,MH_MAHIM_CSWY_T90
MH_SL_WORLI,2026-08-24T16:37:21+05:30,MH43H2509,0.87,motorcycle,brown,54.9,NORTH,MH_SL_WORLI_T670
MH_CST,2026-08-24T16:39:07+05:30,MH04V8626,0.89,car,brown,27.7,SOUTH,MH_CST_T659
MH_SL_BANDRA,2026-08-24T16:39:23+05:30,MH43GV9348,0.96,car,white,28.4,NORTH,MH_SL_BANDRA_T113
MH_SL_MID,2026-08-24T16:40:07+05:30,MH43H2509,0.82,motorcycle,brown,67.6,NORTH,MH_SL_MID_T891
MH_SL_BANDRA,2026-08-24T16:41:47+05:30,MH43H2509,0.9,motorcycle,brown,64.8,NORTH,MH_SL_BANDRA_T964
MH_MARINE,2026-08-24T16:43:34+05:30,MH04V8626,0.91,car,brown,26.9,SOUTH,MH_MARINE_T791
MH_WEH_SANTACRUZ,2026-08-24T16:45:02+05:30,MH05ZL5201,0.8,car,white,61.7,NORTH,MH_WEH_SANTACRUZ_T419
MH_SL_WORLI,2026-08-24T16:45:40+05:30,MH43GV9348,0.94,car,white,53.6,NORTH,MH_SL_WORLI_T69
MH_MAHIM_CSWY,2026-08-24T16:45:57+05:30,MH43H2509,0.89,motorcycle,brown,39.4,NORTH,MH_MAHIM_CSWY_T748
MH_SL_WORLI,2026-08-24T16:46:18+05:30,MH01FT8743,0.94,taxi,black,53.4,NORTH,MH_SL_WORLI_T486
MH_PEDDAR,2026-08-24T16:47:51+05:30,MH04V8626,0.9,car,brown,34.9,SOUTH,MH_PEDDAR_T801
MH_SV_KHAR,2026-08-24T16:48:04+05:30,MH05ZL5201,0.94,car,white,35.8,NORTH,MH_SV_KHAR_T515
MH_SL_MID,2026-08-24T16:49:20+05:30,MH01FT8743,0.87,taxi,black,53.4,NORTH,MH_SL_MID_T649
MH_HAJIALI,2026-08-24T16:50:26+05:30,MH04V8626,0.99,car,brown,37.7,SOUTH,MH_HAJIALI_T675
MH_SL_BANDRA,2026-08-24T16:51:21+05:30,MH01FT8743,0.87,taxi,black,53.5,NORTH,MH_SL_BANDRA_T695
MH_SV_BANDRA,2026-08-24T16:51:37+05:30,MH05ZL5201,0.84,car,white,40.5,NORTH,MH_SV_BANDRA_T421
MH_MAHIM_CSWY,2026-08-24T16:55:53+05:30,MH01FT8743,0.83,taxi,black,33.0,NORTH,MH_MAHIM_CSWY_T529
MH_SP_CHEMBUR,2026-08-24T16:58:42+05:30,MH48D7132,0.82,car,white,54.6,EAST,MH_SP_CHEMBUR_T354
MH_SP_MANKHURD,2026-08-24T17:03:06+05:30,MH48D7132,0.95,car,white,49.1,EAST,MH_SP_MANKHURD_T335
MH_SP_VASHI,2026-08-24T17:11:47+05:30,MH48D7132,0.81,car,white,55.5,EAST,MH_SP_VASHI_T329
MH_WEH_SANTACRUZ,2026-08-24T17:17:52+05:30,MH02PB2830,0.97,car,silver,53.9,NORTH,MH_WEH_SANTACRUZ_T160
MH_WEH_VILEPARLE,2026-08-24T17:20:04+05:30,MH02PB2830,0.9,car,silver,57.9,NORTH,MH_WEH_VILEPARLE_T197
MH_WEH_ANDHERI,2026-08-24T17:22:38+05:30,MH02PB2830,0.97,car,silver,59.5,NORTH,MH_WEH_ANDHERI_T205
MH_MAHIM_CSWY,2026-08-24T17:22:57+05:30,MH03B3062,0.8,car,brown,37.5,NORTH,MH_MAHIM_CSWY_T673
MH_SL_BANDRA,2026-08-24T17:26:38+05:30,MH03B3062,0.85,car,brown,35.9,NORTH,MH_SL_BANDRA_T874
MH_SL_MID,2026-08-24T17:28:29+05:30,MH03B3062,0.9,car,brown,60.6,NORTH,MH_SL_MID_T808
MH_SL_WORLI,2026-08-24T17:31:21+05:30,MH03B3062,0.97,car,brown,52.6,NORTH,MH_SL_WORLI_T600
MH_MAHIM_CSWY,2026-08-24T17:31:26+05:30,KA38UQ8563,0.84,car,blue,38.1,NORTH,MH_MAHIM_CSWY_T775
MH_WEH_VILEPARLE,2026-08-24T17:33:36+05:30,MH47VT4456,0.93,car,black,58.0,NORTH,MH_WEH_VILEPARLE_T738
MH_SP_CHEMBUR,2026-08-24T17:34:33+05:30,MH46JW7288,0.83,car,white,51.3,EAST,MH_SP_CHEMBUR_T537
MH_WEH_JVLR,2026-08-24T17:38:41+05:30,MH47VT4456,0.82,car,black,59.0,NORTH,MH_WEH_JVLR_T730
MH_EEH_SION,2026-08-24T17:40:04+05:30,MH46JW7288,0.89,car,white,56.2,NORTH,MH_EEH_SION_T217
MH_SL_WORLI,2026-08-24T17:40:59+05:30,KA38UQ8563,0.97,car,blue,57.6,NORTH,MH_SL_WORLI_T698
MH_LBS_GHATKOPAR,2026-08-24T17:42:14+05:30,MH47Q2598,0.91,motorcycle,blue,34.3,NORTH,MH_LBS_GHATKOPAR_T36
MH_WEH_GOREGAON,2026-08-24T17:44:16+05:30,MH47VT4456,0.92,car,black,51.5,NORTH,MH_WEH_GOREGAON_T587
MH_WEH_JVLR,2026-08-24T17:47:07+05:30,MP19ZR5042,0.8,car,silver,58.6,NORTH,MH_WEH_JVLR_T220
MH_SP_CHEMBUR,2026-08-24T17:47:43+05:30,MH06SB3882,0.91,taxi,white,67.6,EAST,MH_SP_CHEMBUR_T211
MH_LBS_KURLA,2026-08-24T17:49:34+05:30,MH47Q2598,0.8,motorcycle,blue,31.8,NORTH,MH_LBS_KURLA_T30
MH_WEH_ANDHERI,2026-08-24T17:49:34+05:30,MP19ZR5042,0.84,car,silver,59.2,NORTH,MH_WEH_ANDHERI_T228
MH_WEH_BORIVALI,2026-08-24T17:51:59+05:30,MH47VT4456,0.93,car,black,62.1,NORTH,MH_WEH_BORIVALI_T390
MH_WEH_VILEPARLE,2026-08-24T17:52:26+05:30,MP19ZR5042,0.89,car,silver,59.2,NORTH,MH_WEH_VILEPARLE_T221
MH_WEH_SANTACRUZ,2026-08-24T17:55:23+05:30,MP19ZR5042,0.86,car,silver,60.2,NORTH,MH_WEH_SANTACRUZ_T181
MH_LBS_SION,2026-08-24T17:56:08+05:30,MH47Q2598,0.81,motorcycle,blue,35.0,NORTH,MH_LBS_SION_T24
MH_WEH_KHAR,2026-08-24T17:57:31+05:30,MP19ZR5042,0.87,car,silver,64.3,NORTH,MH_WEH_KHAR_T134
MH_SP_VASHI,2026-08-24T17:59:17+05:30,MH06SB3882,0.87,taxi,white,68.0,EAST,MH_SP_VASHI_T194
MH_SL_BANDRA,2026-08-24T18:04:19+05:30,MH02K5520,0.91,car,red,38.3,NORTH,MH_SL_BANDRA_T748
MH_SP_CHEMBUR,2026-08-24T18:04:33+05:30,MH06UH1665,0.91,taxi,silver,77.9,EAST,MH_SP_CHEMBUR_T586
MH_SL_MID,2026-08-24T18:07:00+05:30,MH02K5520,0.87,car,red,57.1,NORTH,MH_SL_MID_T690
MH_SP_MANKHURD,2026-08-24T18:07:20+05:30,MH06UH1665,0.83,taxi,silver,79.9,EAST,MH_SP_MANKHURD_T532
MH_WEH_BANDRA,2026-08-24T18:11:17+05:30,MH46PM7551,0.86,taxi,grey,55.4,NORTH,MH_WEH_BANDRA_T152
MH_MAHIM_CSWY,2026-08-24T18:12:07+05:30,MH05TU9352,0.88,motorcycle,white,33.1,NORTH,MH_MAHIM_CSWY_T660
MH_EEH_CHEMBUR,2026-08-24T18:12:19+05:30,MH02H9945,0.98,car,red,65.6,NORTH,MH_EEH_CHEMBUR_T634
MH_WORLI_NAKA,2026-08-24T18:12:39+05:30,MH43BM2431,0.88,motorcycle,black,31.0,SOUTH,MH_WORLI_NAKA_T387
MH_SP_VASHI,2026-08-24T18:13:07+05:30,MH06UH1665,0.81,taxi,silver,81.6,EAST,MH_SP_VASHI_T535
MH_WEH_SANTACRUZ,2026-08-24T18:15:13+05:30,MH46PM7551,0.81,taxi,grey,59.7,NORTH,MH_WEH_SANTACRUZ_T413
MH_EEH_GHATKOPAR,2026-08-24T18:15:19+05:30,MH02H9945,0.81,car,red,64.6,NORTH,MH_EEH_GHATKOPAR_T713
MH_SV_BANDRA,2026-08-24T18:16:03+05:30,MH05TU9352,0.95,motorcycle,white,34.7,NORTH,MH_SV_BANDRA_T656
MH_EEH_VIKHROLI,2026-08-24T18:16:05+05:30,MH03KV9126,0.94,car,white,52.3,NORTH,MH_EEH_VIKHROLI_T516
MH_HAJIALI,2026-08-24T18:17:26+05:30,MH43BM2431,0.8,motorcycle,black,34.4,SOUTH,MH_HAJIALI_T578
MH_WEH_VILEPARLE,2026-08-24T18:18:40+05:30,MH46PM7551,0.89,taxi,grey,50.8,NORTH,MH_WEH_VILEPARLE_T477
MH_EEH_KANJURMARG,2026-08-24T18:19:13+05:30,MH03KV9126,0.94,car,white,55.5,NORTH,MH_EEH_KANJURMARG_T428
MH_EEH_VIKHROLI,2026-08-24T18:19:22+05:30,MH02H9945,0.86,car,red,64.7,NORTH,MH_EEH_VIKHROLI_T777
MH_SV_KHAR,2026-08-24T18:20:14+05:30,MH05TU9352,0.93,motorcycle,white,33.0,NORTH,MH_SV_KHAR_T796
MH_PEDDAR,2026-08-24T18:20:31+05:30,MH43BM2431,0.96,motorcycle,black,34.6,SOUTH,MH_PEDDAR_T692
MH_EEH_KANJURMARG,2026-08-24T18:22:50+05:30,MH02H9945,0.95,car,red,56.4,NORTH,MH_EEH_KANJURMARG_T658
MH_SV_SANTACRUZ,2026-08-24T18:23:07+05:30,MH05TU9352,0.84,motorcycle,white,31.3,NORTH,MH_SV_SANTACRUZ_T851
MH_MARINE,2026-08-24T18:25:27+05:30,MH43BM2431,0.97,motorcycle,black,32.2,SOUTH,MH_MARINE_T681
MH_LBS_KURLA,2026-08-24T18:26:02+05:30,MH43G4356,0.82,car,black,40.7,NORTH,MH_LBS_KURLA_T509
MH_EEH_CHEMBUR,2026-08-24T18:26:08+05:30,RJ36EE6391,0.84,auto,blue,55.0,NORTH,MH_EEH_CHEMBUR_T333
MH_EEH_MULUND,2026-08-24T18:26:21+05:30,MH03KV9126,0.96,car,white,49.1,NORTH,MH_EEH_MULUND_T336
MH_SP_CHEMBUR,2026-08-24T18:27:55+05:30,MH03Q6533,0.96,taxi,silver,54.0,EAST,MH_SP_CHEMBUR_T406
MH_EEH_MULUND,2026-08-24T18:28:35+05:30,MH02H9945,0.88,car,red,64.7,NORTH,MH_EEH_MULUND_T505
MH_SL_MID,2026-08-24T18:30:08+05:30,MH47EP9985,0.87,car,grey,53.0,NORTH,MH_SL_MID_T807
MH_CST,2026-08-24T18:31:12+05:30,MH43BM2431,0.84,motorcycle,black,23.8,SOUTH,MH_CST_T565
MH_SP_MANKHURD,2026-08-24T18:31:23+05:30,MH03Q6533,0.93,taxi,silver,56.8,EAST,MH_SP_MANKHURD_T376
MH_LBS_GHATKOPAR,2026-08-24T18:32:05+05:30,MH43G4356,0.81,car,black,40.8,NORTH,MH_LBS_GHATKOPAR_T590
MH_EEH_KANJURMARG,2026-08-24T18:32:11+05:30,GJ31BR2206,0.83,motorcycle,grey,54.0,NORTH,MH_EEH_KANJURMARG_T688
MH_SL_BANDRA,2026-08-24T18:32:34+05:30,MH47EP9985,0.81,car,grey,46.5,NORTH,MH_SL_BANDRA_T873
MH_WEH_BANDRA,2026-08-24T18:32:37+05:30,UP15BU7040,0.93,car,white,61.3,NORTH,MH_WEH_BANDRA_T215
MH_EEH_VIKHROLI,2026-08-24T18:33:47+05:30,RJ36EE6391,0.79,auto,blue,55.0,NORTH,MH_EEH_VIKHROLI_T431
MH_EEH_AIROLI,2026-08-24T18:34:24+05:30,MH02H9945,0.8,car,red,55.7,NORTH,MH_EEH_AIROLI_T329
MH_WEH_KHAR,2026-08-24T18:34:58+05:30,UP15BU7040,0.98,car,white,56.7,NORTH,MH_WEH_KHAR_T435
MH_LBS_GHATKOPAR,2026-08-24T18:35:46+05:30,MH06DB7456,0.84,car,silver,38.2,NORTH,MH_LBS_GHATKOPAR_T209
MH_WEH_SANTACRUZ,2026-08-24T18:36:26+05:30,UP15BU7040,0.89,car,white,57.4,NORTH,MH_WEH_SANTACRUZ_T588
MH_EEH_KANJURMARG,2026-08-24T18:36:48+05:30,RJ36EE6391,0.79,auto,blue,55.0,NORTH,MH_EEH_KANJURMARG_T361
MH_LBS_GHATKOPAR,2026-08-24T18:37:09+05:30,MH48YF5382,0.89,auto,blue,40.9,NORTH,MH_LBS_GHATKOPAR_T530
MH_EEH_MULUND,2026-08-24T18:38:21+05:30,GJ31BR2206,0.85,motorcycle,grey,52.4,NORTH,MH_EEH_MULUND_T526
MH_SP_CHEMBUR,2026-08-24T18:38:35+05:30,MH46DU4832,0.97,car,black,60.3,EAST,MH_SP_CHEMBUR_T907
MH_MARINE,2026-08-24T18:39:59+05:30,MH02DR1442,0.98,motorcycle,black,35.7,SOUTH,MH_MARINE_T103
MH_SP_VASHI,2026-08-24T18:40:24+05:30,MH03Q6533,0.81,taxi,silver,53.9,EAST,MH_SP_VASHI_T371
MH_LBS_KURLA,2026-08-24T18:42:25+05:30,MH06DB7456,0.94,car,silver,34.2,NORTH,MH_LBS_KURLA_T179
MH_SP_MANKHURD,2026-08-24T18:42:25+05:30,MH46DU4832,0.88,car,black,58.8,EAST,MH_SP_MANKHURD_T844
MH_WEH_DAHISAR,2026-08-24T18:42:27+05:30,MH47HJ3015,0.98,motorcycle,white,64.6,NORTH,MH_WEH_DAHISAR_T68
MH_SV_BANDRA,2026-08-24T18:42:53+05:30,UP15BU7040,0.84,car,white,41.2,NORTH,MH_SV_BANDRA_T574
MH_EEH_AIROLI,2026-08-24T18:43:25+05:30,GJ31BR2206,0.86,motorcycle,grey,56.5,NORTH,MH_EEH_AIROLI_T346
MH_EEH_MULUND,2026-08-24T18:43:28+05:30,RJ36EE6391,0.98,auto,blue,55.0,NORTH,MH_EEH_MULUND_T288
MH_LBS_BHANDUP,2026-08-24T18:44:08+05:30,MH43G4356,0.82,car,black,37.4,NORTH,MH_LBS_BHANDUP_T484
MH_CST,2026-08-24T18:44:27+05:30,MH02DR1442,0.92,motorcycle,black,26.5,SOUTH,MH_CST_T89
MH_WEH_BORIVALI,2026-08-24T18:45:29+05:30,MH47HJ3015,0.83,motorcycle,white,56.8,NORTH,MH_WEH_BORIVALI_T149
MH_LBS_BHANDUP,2026-08-24T18:45:33+05:30,MH48J6564,0.83,motorcycle,red,37.8,NORTH,MH_LBS_BHANDUP_T269
MH_EEH_AIROLI,2026-08-24T18:48:59+05:30,RJ36EE6391,0.95,auto,blue,55.0,NORTH,MH_EEH_AIROLI_T180
MH_WEH_KHAR,2026-08-24T18:49:00+05:30,MH48U1171,0.82,car,white,58.1,NORTH,MH_WEH_KHAR_T496
MH_COLABA,2026-08-24T18:49:05+05:30,MH02DR1442,0.88,motorcycle,black,28.9,SOUTH,MH_COLABA_T58
MH_LBS_BHANDUP,2026-08-24T18:49:50+05:30,MH48YF5382,0.84,auto,blue,36.2,NORTH,MH_LBS_BHANDUP_T436
MH_WEH_SANTACRUZ,2026-08-24T18:50:23+05:30,MH48U1171,0.82,car,white,60.3,NORTH,MH_WEH_SANTACRUZ_T672
MH_WORLI_NAKA,2026-08-24T18:50:54+05:30,MH48FL1641,0.82,car,white,32.0,SOUTH,MH_WORLI_NAKA_T29
MH_SP_VASHI,2026-08-24T18:51:43+05:30,MH46DU4832,0.92,car,black,55.8,EAST,MH_SP_VASHI_T842
MH_WEH_VILEPARLE,2026-08-24T18:53:10+05:30,MH48U1171,0.79,car,white,57.4,NORTH,MH_WEH_VILEPARLE_T774
MH_WEH_GOREGAON,2026-08-24T18:53:18+05:30,MH47HJ3015,0.92,motorcycle,white,58.8,NORTH,MH_WEH_GOREGAON_T248
MH_SP_CHEMBUR,2026-08-24T18:54:28+05:30,MH43B6933,0.8,car,white,50.2,EAST,MH_SP_CHEMBUR_T942
MH_EEH_KANJURMARG,2026-08-24T18:54:34+05:30,MH46H2310,0.88,car,red,64.3,NORTH,MH_EEH_KANJURMARG_T25
MH_HAJIALI,2026-08-24T18:55:51+05:30,MH48FL1641,0.96,car,white,35.4,SOUTH,MH_HAJIALI_T42
MH_WEH_ANDHERI,2026-08-24T18:56:06+05:30,MH48U1171,0.87,car,white,52.4,NORTH,MH_WEH_ANDHERI_T797
MH_WEH_JVLR,2026-08-24T18:57:59+05:30,MH47HJ3015,0.82,motorcycle,white,59.3,NORTH,MH_WEH_JVLR_T299
MH_EEH_VIKHROLI,2026-08-24T18:58:07+05:30,MH46H2310,0.85,car,red,56.6,NORTH,MH_EEH_VIKHROLI_T25
MH_LBS_GHATKOPAR,2026-08-24T18:58:25+05:30,MH48J6564,0.9,motorcycle,red,35.5,NORTH,MH_LBS_GHATKOPAR_T328
MH_WEH_JVLR,2026-08-24T18:58:28+05:30,MH48U1171,0.9,car,white,57.1,NORTH,MH_WEH_JVLR_T768
MH_SP_MANKHURD,2026-08-24T18:58:50+05:30,MH43B6933,0.85,car,white,46.7,EAST,MH_SP_MANKHURD_T872
MH_PEDDAR,2026-08-24T18:58:55+05:30,MH48FL1641,0.87,car,white,32.6,SOUTH,MH_PEDDAR_T49
MH_WEH_ANDHERI,2026-08-24T18:59:20+05:30,MH47HJ3015,0.87,motorcycle,white,67.2,NORTH,MH_WEH_ANDHERI_T323
MH_EEH_GHATKOPAR,2026-08-24T19:01:45+05:30,MH46H2310,0.85,car,red,64.4,NORTH,MH_EEH_GHATKOPAR_T29
MH_WEH_VILEPARLE,2026-08-24T19:01:48+05:30,MH47HJ3015,0.85,motorcycle,white,66.8,NORTH,MH_WEH_VILEPARLE_T313
MH_MARINE,2026-08-24T19:02:51+05:30,MH48FL1641,0.92,car,white,36.9,SOUTH,MH_MARINE_T47
MH_WEH_GOREGAON,2026-08-24T19:03:36+05:30,MH48U1171,0.81,car,white,56.1,NORTH,MH_WEH_GOREGAON_T620
MH_WEH_SANTACRUZ,2026-08-24T19:04:12+05:30,MH47HJ3015,0.97,motorcycle,white,64.6,NORTH,MH_WEH_SANTACRUZ_T266
MH_COLABA,2026-08-24T19:04:14+05:30,MH04NS7368,0.88,car,silver,27.0,SOUTH,MH_COLABA_T317
MH_LBS_KURLA,2026-08-24T19:04:23+05:30,MH48J6564,0.92,motorcycle,red,41.3,NORTH,MH_LBS_KURLA_T284
MH_EEH_CHEMBUR,2026-08-24T19:05:48+05:30,MH46H2310,0.95,car,red,55.6,NORTH,MH_EEH_CHEMBUR_T21
MH_MAHIM_CSWY,2026-08-24T19:07:36+05:30,MH48PR0841,0.92,truck,brown,35.6,NORTH,MH_MAHIM_CSWY_T654
MH_CST,2026-08-24T19:07:43+05:30,MH48FL1641,0.99,car,white,28.0,SOUTH,MH_CST_T38
MH_CST,2026-08-24T19:08:56+05:30,MH04NS7368,0.84,car,silver,30.1,SOUTH,MH_CST_T470
MH_SL_WORLI,2026-08-24T19:09:02+05:30,MH05TU9352,0.89,motorcycle,white,55.5,NORTH,MH_SL_WORLI_T593
MH_MAHIM_CSWY,2026-08-24T19:09:20+05:30,MH03T0207,0.91,motorcycle,grey,39.2,NORTH,MH_MAHIM_CSWY_T313
MH_SP_VASHI,2026-08-24T19:09:47+05:30,MH43B6933,0.85,car,white,45.4,EAST,MH_SP_VASHI_T874
MH_SL_WORLI,2026-08-24T19:10:28+05:30,MH43A8914,0.81,car,white,56.4,NORTH,MH_SL_WORLI_T680
MH_LBS_SION,2026-08-24T19:10:30+05:30,MH48J6564,0.92,motorcycle,red,42.1,NORTH,MH_LBS_SION_T202
MH_SV_BANDRA,2026-08-24T19:10:46+05:30,MH48PR0841,0.85,truck,brown,37.0,NORTH,MH_SV_BANDRA_T641
MH_EEH_SION,2026-08-24T19:10:52+05:30,MH46H2310,0.91,car,red,60.3,NORTH,MH_EEH_SION_T19
MH_WEH_BANDRA,2026-08-24T19:11:55+05:30,MH47WM8907,0.93,car,black,62.5,NORTH,MH_WEH_BANDRA_T104
MH_COLABA,2026-08-24T19:12:26+05:30,MH48FL1641,0.82,car,white,27.4,SOUTH,MH_COLABA_T23
MH_SL_MID,2026-08-24T19:12:27+05:30,MH05TU9352,0.89,motorcycle,white,51.2,NORTH,MH_SL_MID_T794
